Element 1 ID	Element 2 ID	STRING escore	STRING tscore	STRING dscore
Q07011	Q16568	0	800	0
P05112	Q16568	0	357	0
P05112	Q16568	0	357	0
P05231	Q16568	0	473	0
P05231	Q16568	0	473	0
P26842	P19838	0	193	0
P26842	P19838	0	193	0
P21579	P19838	0	222	0
P21579	P19838	0	222	0
Q5ZPR3	Q9NZQ7	0	218	0
Q5ZPR3	Q9NZQ7	0	218	0
P10145	Q07011	0	594	0
P10145	Q07011	0	594	0
P40763	P05231	269	970	900
P40763	P05231	269	970	900
P40763	P05231			
P40763	P05231			
P40763	P05231			
Q8IXH7	Q07011	0	213	0
Q8IXH7	Q07011	0	213	0
GO:0001525	P10145	TAS		
GO:0006954	P01375	IDA		
Q07011	P01375	0	802	0
Q07011	P01375	0	802	0
P05231	Q07011	0	700	0
P05231	Q07011	0	700	0
Q9NZQ7	P01375	0	677	0
Q9NZQ7	P01375	0	677	0
Q15672	P05231	0	658	0
Q15672	P05231	0	658	0
P01588	P25942	0	229	0
P01588	P25942	0	229	0
Q15672	P05231	0	658	0
Q15672	P05231	0	658	0
P04275	Q76LX8	379	958	0
P04275	Q76LX8	379	958	0
P13726	P29965	0	590	0
P13726	P29965	0	590	0
Q96RJ3	P01730	0	195	0
Q96RJ3	P01730	0	195	0
Q15672	P36575	0	160	0
Q15672	P36575	0	160	0
Q07011	Q02223	0	382	0
Q07011	Q02223	0	382	0
P11912	O75888	0	148	0
P11912	O75888	0	148	0
P10144	P60568	0	885	0
P10144	P60568	0	885	0
P26718	Q9UBK5	183	858	800
P26718	Q9UBK5	183	858	800
P26718	Q9UBK5			
Q16568	P13232	0	483	0
Q16568	P13232	0	483	0
P22735	P04637	0	218	0
P22735	P04637	0	218	0
P60568	Q13422	0	692	0
P60568	Q13422	0	692	0
P60568	Q13422	0	692	0
P60568	Q13422	0	692	0
Q15672	P05231	0	658	0
Q15672	P05231	0	658	0
GO:0008283	Q02223	TAS		
Q16568	Q15116	0	511	0
Q16568	Q15116	0	511	0
Q15672	P36575	0	160	0
Q15672	P36575	0	160	0
P11912	P11836	0	457	0
P11912	P11836	0	457	0
O43927	P32302	379	926	900
O43927	P32302	379	926	900
O43927	P32302			
O95819	Q13114	168	113	900
O95819	Q13114	168	113	900
GO:0006915	O00141	IEA		
GO:0006915	P25445	IDA		
P25942	Q99558	353	303	0
P25942	Q99558	353	303	0
P25942	Q99558			
P25942	P29965	870	974	900
P25942	P29965	870	974	900
P25942	P29965			
